,recall_at1,recall_at2,recall_at3,recall_at4,recall_at5,recall_at10,recall_at20,recall_at50,mean_rank,average_similarity,threshold
0,0.53999996,0.65999997,0.7,0.76,0.78,0.94,0.97999996,1,3.6999998,0.6591871,
1,0.52,0.62,0.65999997,0.71999997,0.74,0.84,0.84,0.84,3.6999998,0.6591871,0.55
2,0.52,0.62,0.64,0.7,0.71999997,0.79999995,0.79999995,0.79999995,3.6999998,0.6591871,0.560714285714286
3,0.52,0.62,0.64,0.7,0.71999997,0.79999995,0.79999995,0.79999995,3.6999998,0.6591871,0.571428571428571
4,0.52,0.59999996,0.62,0.68,0.7,0.74,0.74,0.74,3.6999998,0.6591871,0.582142857142857
5,0.52,0.59999996,0.62,0.68,0.7,0.71999997,0.71999997,0.71999997,3.6999998,0.6591871,0.592857142857143
6,0.52,0.59999996,0.62,0.68,0.7,0.71999997,0.71999997,0.71999997,3.6999998,0.6591871,0.603571428571429
7,0.52,0.59999996,0.62,0.68,0.7,0.7,0.7,0.7,3.6999998,0.6591871,0.614285714285714
8,0.52,0.59999996,0.62,0.65999997,0.68,0.68,0.68,0.68,3.6999998,0.6591871,0.625
9,0.5,0.58,0.59999996,0.64,0.65999997,0.65999997,0.65999997,0.65999997,3.6999998,0.6591871,0.635714285714286
10,0.48,0.56,0.58,0.59999996,0.62,0.62,0.62,0.62,3.6999998,0.6591871,0.646428571428571
11,0.45999998,0.53999996,0.53999996,0.56,0.58,0.58,0.58,0.58,3.6999998,0.6591871,0.657142857142857
12,0.44,0.5,0.5,0.52,0.53999996,0.53999996,0.53999996,0.53999996,3.6999998,0.6591871,0.667857142857143
13,0.42,0.48,0.48,0.5,0.5,0.5,0.5,0.5,3.6999998,0.6591871,0.678571428571429
14,0.42,0.45999998,0.45999998,0.48,0.48,0.48,0.48,0.48,3.6999998,0.6591871,0.689285714285714
15,0.39999998,0.44,0.44,0.45999998,0.45999998,0.45999998,0.45999998,0.45999998,3.6999998,0.6591871,0.7
